Author,Titulo,Review,OrigenAutor,FechaOpinion,FechaEstadia
,"Jardines, senderos y estatuas","Pequeña plaza encantadora en el centro de Puebla con jardines, estatuas y senderos - y un montón de oportunidades de sentarse de lugareños, amantes y turistas por igual. Un espacio público práctico y hermoso.","Norwich, UK",31 de enero de 2025,ene de 2025
,Una caminata,A mi hermana le encanta caminar mientras platica y el poder hacerlo en esta zona fue genial. Pasamos un buen rato mientras disfrutábamos de un tiempo libre.,,19 de julio de 2024,jul de 2024
,Me encanta venir al zócalo,"Una plaza hermosa en todos los sentidos. Amplia, limpia y con la imponente catedral al fondo. De las más bonitos en donde he estado.",,1 de febrero de 2024,ene de 2024
,Épico,Debo decir que es un lugar bello y me gusta que tenga lugares para comer a su alrededor. Solo tengan cuidado con sus pertenencias. ,,28 de diciembre de 2023,dic de 2023
,Luce con ambientación de festividades de Todos Santos,"El zócalo de Puebla es el punto central de esta ciudad colonial, al centro del mismo se halla la ""Fuente de San Miguel"", a un costado puede apreciarse la Catedral con sus elevadas torres y al otro destaca el edificio de la alcaldía.Esta ocasión hay algunos motivos alegóricos a la temporada de ""Muertos"" y esto le aporta un ambiente especial.Disfruta de Puebla porque: ¡La VIDA...es un VIAJE!","Ciudad de México, México",27 de octubre de 2023,oct de 2023
,Hermoso centro de la ciudad de Puebla,"Hermoso centro se la ciudad de Puebla,  con muy bella arquitectura y lleno de historia. Vale mucho la.pena la visita",,15 de julio de 2023,jul de 2023
,Bonito Lugar,"Se pasa un día agradable conociendo el Zócalo de Puebla y sus alrededores, buena comida y excelente ambiente para pasarla bien con la familia y amistades. Recomendado totalmente.","Ciudad de México, México",23 de abril de 2023,abr de 2023
,Hermoso el centro de la ciudad.,"Puebla es una excelente ciudad para pasear. Sobre todo en el zócalo, ahi vas a ver la catedral, restaurantes al rededor y golosinas y dulces.En sí misma, la ciudad habla sola !!!","Ciudad de México, México",7 de abril de 2023,ene de 2023
,Muy acogedor,"Se transporta uno a Europa, se me hace parecido a algunas ciudades italianas.  Es muy agradable y tiene muchos restaurantes a su alrededor","Cartagena, Colombia",13 de febrero de 2023,nov de 2022
,Caminamos unas cuadras desde nuestro hotel todos los días para disfrutar del Zócalo,"Zócalo: una bonita plaza en el hermoso centro histórico. Buenos restaurantes por todos lados y pequeños cafés y bares en la plaza. Hermosos árboles grandes, catedral al lado.",,27 de enero de 2023,ene de 2023
,Hermoso,Fui con un pequeño grupo de familiares al final de un fin de semana de bodas. Fue la manera perfecta de terminar nuestro tiempo en Puebla. Estaba ocurriendo un festival de Navidad y nos encantaba caminar y disfrutar de las luces y la belleza. Gente encantadora que nos hizo sentir bienvenidos.,Phoenix,15 de diciembre de 2022,dic de 2022
,El Zócalo Puebla es un gran lugar para pasar el tiempo,Me encanta el Zócalo de Puebla. Siempre pasan muchas cosas. Un montón de fotografías. Muy colorido y vale la pena caminar en él todos los días.,US,28 de octubre de 2022,oct de 2022
,Muy encantador y colorido.,Lugar agradable. muy tipico Muchos restaurantes y bares en el mismo centro de una encantadora ciudad colonial.,"Montecarlo, Mónaco",1 de octubre de 2022,sept de 2022
,No ser extrañado,"El Zócalo es el corazón del Distrito Histórico, un oasis de vegetación con muchas bancas, algunas estatuas y un pabellón. Los fines de semana suele haber alguna actuación de baile y canto al aire libre. El parque está rodeado de muchos excelentes restaurantes además de la Catedral.","San Diego, CA",12 de junio de 2022,jun de 2022
,Viaje a Puebla familia,"Los familiares que lleve se fueron Muy contento, sobre todo la seguridad que hay ahora en Puebla con esta administración",,6 de mayo de 2022,abr de 2022
,Los Portales,pese a ser un Zócalo pequeño el de Puebla no deja de tener esa magia de sus portales con sus locales de comida que le dan ese sabor tan suyo y que al viajero le gusta le enamora o solo satisface su necesidad de degustar una buena comida ,,5 de mayo de 2022,feb de 2022
,un día de relax,"Visité el hermoso centro histórico de la Ciudad de Puebla, el clima muy agradable, la Catedral de estilo plateresco, barróco construida entre los siglos XVI  y XVII, rodeada de hermosos edificios coloniales y en un costado los hermosos portales en donde se puede degustar un excelente café además de una buena comida tipica ","Cuautla, México",27 de abril de 2022,oct de 2021
,Un buen lugar sombreado,"Justo en el centro del Casco Histórico ya la izquierda de la Catedral principal. Un buen punto de partida para un recorrido. Una agradable zona sombreada donde uno puede relajarse, pero no hay suficientes bancos para sentarse.","Miami Beach, FL",6 de abril de 2022,abr de 2022
,Precioso,"En general, todo el lugar es hermoso, venta de artesanías, souvenirs, café, restaurantes, de todo un poco, ademas de caminar por entre los  de arboles, que dan sombra hacen mas relajante la caminata.","Puntarenas, Costa Rica",31 de enero de 2022,ene de 2022
,caos,"Tránsito de autos y bicicletas, calles con multiples vendedores ambulantes que ocupan los mínimos espacios para caminar, música altisonante de personas que te piden dinero por todas partes.  Recomiendo planificar cuáles lugares desean conocer e ir específicamente. Poco seguro para niños y adultos mayores, en realidad poco seguro para cualquier persona. Omitiendo todo eso, hay dos o tres cosas que valen la pena. No volvería.",,23 de noviembre de 2021,sept de 2021
,Parada Obligatoria,"Lugar lleno de historia, alrededor de las calles, edificios que conservan su fachada original, la Catedral majestuosa, y el Parquecito cuenta con las letras de Puebla, en éstas fechas está decorado con unas Calaveritas muy simpáticas para tomar la foto del recuerdo.","Mérida, México",4 de noviembre de 2021,nov de 2021
,Colorido y hermoso,El zócalo de puebla es hermoso!! Muy pintoresco y colorido. Con muchas artesanías que comprar y dulces deliciosos. Fue una bonita tarde recorriendo sus calles y disfrutando.,,7 de octubre de 2021,oct de 2021
,Gran plaza rodeada de edificios históricos,"Enorme plaza rodeada de iglesias, museos y edificios gubernamentales. Fuerte presencia policial con antidisturbios alrededor de la plaza.","Savannah, GA",10 de septiembre de 2021,sept de 2021
,Looking ,Todo cerrado todo alrededor de la plaza principal cerrada no se puede caminar los vendedores no hay por ningún lado ah está un poco incómodo en estos momentos puede ser por COVID puede ser porque están arreglando para las festividades del 16 de septiembre oooh puede ser por Pedro Juan y las cotorras que sello simplemente el Zócalo un poco restringido para caminar y ver,"Chicago, IL",26 de agosto de 2021,ago de 2021
,No está disponible en julio 21,Estuvimos allí el fin de semana y con mucha pena no pudimos apreciar la linda plaza pueblerina. Estaba cercada por madera y no había paso entonces solo comimos los churros típicos de la gran ciudad de Puebla,,6 de julio de 2021,jul de 2021
