Author,Titulo,Review,OrigenAutor,FechaOpinion,FechaEstadia
,Imponente y Majestuosa,"Me quedé encantado en ver esta basílica tan hermosa, tanto por fuera, como por dentro. La arquitectura es majestuosa e imponente, y está muy linda por adentro con sus encantadoras imágenes, un lugar de paz y tranquilidad ideal para admirar y conectarse con nuestro Dios!","Ciudad de México, México",24 de diciembre de 2024,dic de 2024
,Una visita obligada ,"Una basílica con una arquitectura magnífica,   la cual resguarda una invaluable cantidad de arte tanto en sus paredes como en sus retablos, muros y entrada. Además de la imagen de la virgen la cual está bellamente ataviada y ornamentada.","Puebla, México",16 de junio de 2024,jun de 2024
,Lugar religioso muy bonito,"Hola apenas visite este lugar es muy bonito sobretodo su iglesia que data desde  1541 cuando se apareció la virgen María ahora llamada como virgen de Ocotlán , la virgencita se le apareció a un joven llamado Juan Diego Bernardino nombre similar a Juan Diego de la virgen del Tepeyac .La virgen de Ocotlán cuando se le apareció a Juan Diego le dio agua para curar a los enfermos pues había una peste que estaba matando a la gente.Y desde entonces sigue el pocito con agua poderosa para sanar a las personas .Este pocito está a una calle hacia abajo , puedes llevar un recipiente o comprar por ahí mismo para que tengas tu agua .","Veracruz, México",7 de abril de 2023,mar de 2023
,MAJESTUOSA E IMPERDIBLE!!!!,"DVINO!!!! Increible sitio imperdible si vas a Tlaxcala, Una de las máximas expresiones de la arquitectura barroca del s. XVIII en México. FABULOSA,RICA EN ARTE, DEBEN IR!!! Tuve la fortuna de asistir a una boda, en verdad es un sitio majestuoso!!!","Ciudad de México, México",18 de agosto de 2022,sept de 2021
,hermosa iglesia,"Asistí a un bautismo aquí, la iglesia más hermosa que he visto, todo cubierto de oro con estatuas incrustadas en la pared. Hay una habitación trasera con murales de la crucifixión y la última cena, hay una habitación más pequeña detrás de la virgen que es igual de extravagante y el artista tardó 25 años en construirla, vale la pena verla y hacer el recorrido en autobús por tlaxcala, una bonita y tranquila ciudad colonial. , recomiendo el restaurante La Casona con el burro enfrente, a una cuadra de la plaza del pueblo.",,1 de agosto de 2022,jul de 2022
,Visita obligada,"Un lugar muy bonito y de mucha tradición, la fachada de la basílica es increible, una magnífica composición junto con los retablos de la iglesia.","Cuernavaca, México",13 de junio de 2022,jun de 2022
,¡Asombroso!,"Terminamos nuestra visita a Tlaxcala con La Basílica de Nuestra Señora Ocotlán, un popular lugar de peregrinaje gracias a la creencia de que la Virgen María se apareció allí durante una plaga en 1541 y provocó que brotaran aguas curativas de un manantial. Este impresionante ejemplo del barroco mexicano se encuentra en un barrio residencial montañoso. La plaza al frente ofrece una vista panorámica de la ciudad y el campo circundante. Rematando la base de ladrillo rojo, las torres blancas ornamentadas de la iglesia casi parecen levitar. El interior logra ser impresionante sin ser exagerado. En la nave, marcos dorados rodean pinturas religiosas que recuerdan las ilustraciones bíblicas de finales del siglo XIX, dejando que el altar de oro reluciente y el techo espectacular de la cúpula se roben el espectáculo.","Albuquerque, Nuevo Mexico",16 de septiembre de 2021,sept de 2021
,Bonito y colonia,Bastante linda y colonia agradeble lugar para visitar aunque por contingencia no tiene acceso al interior por el momento,"Tlaxcala, México",16 de agosto de 2020,ago de 2020
,El Barroco en TLAXCALA,"Es un templo estilo barroco , muy interesante la historia de la Sma. virgen de OCOTLÁN , aparecida meteos más abajo de la basílica, EL POZOTO. Visita obligada para católicos y no creyentes .Vale la pena","Puebla, México",11 de marzo de 2020,mar de 2020
,Impresionante,"Es una joya colonial barroca. Absolutamente excepcional, vale la pena ir en la visita guiada del tranvía que sale del centro. La sacristía y el camerino de la parroquía esconden una de las joyas barrocas más ricas de México.","Santiago de Querétaro, México",1 de enero de 2020,ene de 2020
,Contrata un guía ,"La iglesia es mucho más bonita de lo que aparenta, vale la pena contratar un guía para que te explique y puedas pasar a ver murales q no están exhibidos al público en general.","Santiago de Querétaro, México",18 de noviembre de 2019,nov de 2019
,Belleza Cultural,"La ciudad de tlaxcala tiene mucha historia y cultura, esta iglesia, es hermosa y tiene una gran historia.",,14 de noviembre de 2019,jul de 2019
,LA MAS HERMOSA DE TODO TLAXCALA,"Ocotlán es un lugar maravilloso, puedes llegar a comer en su mercadito de comida cosas deliciosas preparadas al momento, y si te toca en fin de semana hay mucha variedad de alimentos. Y admirar la arquitectura de la basílica es algo sublime.","Chiautempan, México",10 de noviembre de 2019,may de 2019
,Hermosa básilica,"Una iglesia que vale la pena conocer por su arquitectura e historia, además de degustar comida típica de puestos alrededor de ella los fines de semana.",,5 de septiembre de 2019,ene de 2019
,Detalles impresionantes,"Un lugar muy bonito y pintoresco, desde el mini parque en el exterior, hasta el atrio de la basílica, muy hermoso, la fachada muy hermosa con detalles por todos sitios, por dentro muy padre con detalles impresionantes dorados, un lugar por visitar por su arquitectura y claro si eres católico imperdible, lamentablemente fue afectada por los sismos aunque en poca medida, actualmente en reconstrucción.","Oaxaca, México",13 de agosto de 2019,ago de 2019
,Muy recomendable ,"Es sumamente hermosa, sus detalles, los acabados parece transportarte a otra época. Visita obligatoria en Tlaxcala ","Minatitlán, México",11 de agosto de 2019,ago de 2019
,La mejor de todo Tlaxcala,"Es una obra de arte arquitectónica digna de admirarse, sentirse incluso olfatear es una experiencia increíble el estar ahi, genera mucha paz de lo mejor en el estado de Tlaxcala no duden en visitarlo y de preferencia en fin de semana para degustar la gastronomía que se encuentra en el parque aledaño.","Puebla, México",6 de agosto de 2019,abr de 2019
,Sumamente hermosa la Basílica de Ocotlán,"Recomendable acudir y observar cada elemento de este templo, que sin duda enmarca una belleza sin igual.",,29 de julio de 2019,oct de 2018
,Bellísimo ,"En definitiva un lugar impresionante, además de que es de admirar que permitan la entrada al público y conocer toda la iglesia ","Saltillo, México",17 de julio de 2019,jul de 2019
,Hermoso lugar,"Lugar muy hermoso que no puedes dejar de visitar si estas de vacaciones en Tlaxcala, los domingos hay mucha actividad al rededor de esta bella iglesia, lugares para comer y ricas cosas para disfrutar",,19 de marzo de 2019,mar de 2019
,Una gran sorpresa,Una iglesia llena de historia y grandes detalles que vale la pena visitar y conocer independientemente de si se es católico o no,"Irapuato, México",15 de marzo de 2019,mar de 2019
,Impactante visita,"No te pierdas los tours de la ciudad de Tlaxcala, tanto el diurno como el nocturno. La vista que se realiza a la Basílica de Nuestra Señora de Ocotlán, es excepcional. Es un hermoso templo, de arquitectura e interiores espectaculares, como los lienzos del pintor Miguel Caro, el guía del recorrido te narra con detalle la historia tanto del templo como del arte que lo conforma. Si quieres vivir una experiencia religiosa salpicada de leyendas y arte... la visita a esta Basílica es una buena opción.","Tepic, México",17 de febrero de 2019,feb de 2019
,Excelente experiencia,"El lugar esta hermoso, fue afectado por el pasado sismo, pero no perdió su belleza, afuera hay un tianguis de comida los domingos que se come muy barato y muy rico, pues sazón casero, hay variedad de acuerdo a lo típico de Tlaxcala. De ahí al centro esta muy cerca entonces se puede comer de postre unas conchas rellenas de queso muy ricas mientras vas leyendo los murales de la historia de la cd. En el palacio de gobierno.Recomendable","Tlaxcala, México",12 de febrero de 2019,oct de 2018
