Author,Titulo,Review,OrigenAutor,FechaOpinion,FechaEstadia
,Si quieres desmitificar la historia de Tlaxcala.. tienes que ver estos murales. ,"Es una joya artística con un gran contenido cultural. Si quieres desmitificar la historia de Tlaxcala, aquí es el lugar indicado para ir. Los guías de turistas son increíblemente apasionados, en especial Eduardo Cuahutle Xochitemol que con mucha pasión y sin prisas me dió cátedra del mural y la historia de Tlaxcala. Un lugar que si. Duda debes conocer. ",,9 de enero de 2023,ene de 2023
,Muy interesante la Historia de Tlaxcala de Xicotencatl,"Me gostó la historia de Tlaxcala, explicada por un guia mediante los murales que se encuenrtran en el interior del Palacio de Gobierno. Excelente plática.","Pachuca, México",7 de agosto de 2022,jul de 2022
,Murales Históricos,"Se remonta a la época de los indios y hasta la invasión de los españoles. Una guía explicará la historia gratis, un pequeño consejo si quieres dar.",,1 de agosto de 2022,jul de 2022
,Interesante y vistoso,"La historia de un lugar contado en imágenes , muy colorido e interesante. Muchos simbolismos. Me encantó ver la historia de esta manera de un lugar que ha sido históricamente muy rico y valioso. Tlaxcala conserva prácticamente el mismo territorio desde la época prehispánica.","Apizaco, México",7 de agosto de 2021,sept de 2020
,Hermosa obra de arte,"Toda la historia de Tlaxcala, desde la época antigua prehispánica, pasando por la conquista, la vida colonial, el movimiento de independencia, la transformación del México independiente, la revolución y el México del siglo XX.","Tlaxcala, México",12 de enero de 2020,oct de 2019
,Para conocer más sobre nuestra historia,"Excelente la explicación que nos dio el guía Juan, muy completa y con mucho dominio de la historia. Muy recomendable. ","Zapopan, México",27 de diciembre de 2019,dic de 2019
,extraordinarios de la historia de México y el papel de los tlaxcaltecas en la conquista.,"Son unos murales que narran la historia desde las tribuis que existieron en Tlaxcala y su papel que tuvieron en la conquista de México, y algunos de los pasajes de la historia  de  México hasta nuestros días, pintadas extraordinariamente por el maestro muralista mexicano Desiderio Hernandez Xochitiotzin.Es una obra de arte que se resalta por su colirido y perfeccion que le dió el maestro a estos murales.Ahí mismo puedes apreciar la galería de los retratos de los gobernadores que ha tenido el estado de Tlaxcala.Es algo que vale la pena visitar.",,12 de diciembre de 2019,nov de 2019
,EDIFICIOS CON HISTORIA,"Todos los edificios municipales de los pueblos de mi México querido son depositarios de la historia que sus hombres y mujeres han plasmado en sus murales y en las fotografías de todos aquellos que han dirigido la vida política de los mismos.  Estos murales son bellos en sus colores, técnica y significado histórico","Ciudad de México, México",15 de noviembre de 2019,oct de 2019
,Lugar que vale la pena visitar,"Es un lugar pintoresco e imposible no visitarlo quien llega a Tlaxcala, en el encierra toda la historia de este hermoso  Estado",,20 de septiembre de 2019,oct de 2018
,Murales extraordinarios que relatan parte de la historia de la Ciudad de Tlaxcala,"Estos murales fueron creación del Pintor y muralista Desiderio Hernández Xochitiotzin, un maestro y precursor de su propia técnica para pintar y relatar la historia de Tlaxcala, de una forma única.",,4 de septiembre de 2019,sept de 2019
,Precioso! ,"A simple vista el palacio no tiene tanto atractivo, pero ya que entras y ves este mural pintado de hace décadas en tan buen estado es impresionante. Quedé muy satisfecha con la historia","Puerto Vallarta, México",5 de agosto de 2019,ago de 2019
,Me encantó pues narra la historia de los tlaxcaltecas,Como sugerencia acudir con algún guia para que explique el orden de las imagenes y podamos conocer de manera certeras la historia de ellos así como conocer la historia de México ,"Saltillo, México",17 de julio de 2019,jul de 2019
,La historia no contada,"Quién conoce la historia de la conquista de México, no negará que la otra cara de la moneda hace falta y es que aquí se relata la historia de la conquista de México desde el lado tlaxcalteca (comunidad en guerra con los Aztecas durante la conquista)","Ciudad de México, México",2 de julio de 2019,feb de 2019
,Colorido,"En este lugar se aprecian muy buenos murales, que dejan con una muy buena impresión ya que son murales muy grandes y muy bien elaborados.Cada uno tiene su historia y explicación la cual nos enriquece nuestros conocimientos. Un muy buen lugar para visitar","Tezoyuca, México",13 de junio de 2019,ago de 2018
,Espectacular,"Me quedé sin aliento al ver ese muro. Una obra de arte, una obra maestra a la altura de cualquier muralista o pintor internacional","Ciudad de México, México",7 de mayo de 2019,may de 2019
,MURALES HISTÓRICOS!,Digna obra de admiración los murales históricos del Mtro. Desiderio Hernández Xochitiotzin!Conozcanlos!,,20 de marzo de 2019,sept de 2018
,Impresionantes,"El edificio está cubierto de murales que cuentan la historia del territorio Tlaxcala desde su yacimiento como ciudad mesoamericana, pasando por la colonia hasta su independencia. Son increíbles e imperdibles. ","Ciudad de México, México",16 de marzo de 2019,mar de 2019
,Historia gráfica de Tlaxcala,"Los murales terminaron de pintarse en 2001, por lo que sus colores son muy vivos, conviene contratar guía para no perderse de los detalles de la obra","Ciudad de México, México",11 de marzo de 2019,feb de 2019
,Visita cultural,"Excelente lugar para admirar murales que narran la historia de las etnias de la zona y del lago de Texcoco, incluso llega hasta la liberación de México. Imperdible, sugiero contratar guía.","Pachuca, México",9 de marzo de 2019,mar de 2019
,Maravilloso,¡A los amantes del arte les encantará! Disfruté de los increíbles murales y la explicación del guía.,,12 de febrero de 2019,mar de 2018
,Murales extraordinarios y cuentan la historia de Tlaxcala,"Las pinturas son muy bonitas y destacan la historia de Tlaxcala a grandes rasgos desde la época de la República de Tlaxcala, pasando por la época de la conquista española y terminando en el pasado más reciente.","Tlaxcala, México",15 de enero de 2019,nov de 2018
,Espectacular,Murales impresionantes que van narrando la historia de Tlaxcala. Es mejor el contratar a guías para que con su explicación se enriquezca la visita.,"Ciudad Nezahualcóyotl, México",10 de enero de 2019,ene de 2019
,Muy interesante ,"Historia narrada a través de casi 500 metros de murales.Muy interesante y enriquecedor, tuvimos la oportunidad de contar con un excelente guía turístico en este recinto. ",,4 de enero de 2019,ene de 2019
,Excelente,"Un lugar muy conservador, es un lugar q se debe visitar, los murales están geniales así como el inmueble en general. Aunq yo no lo hice x cuestiones de tiempo hay un guía qte da un recorrido explicando el significado de los murales (costo aprox 200 pesos). Recomendable. Entrada gratis.","Tlapacoyan, México",5 de diciembre de 2018,dic de 2018
,Súper originales ,"Plasman la historia de Tlaxcala, están muy bien hechos, te recomiendo hacer un tour físico, el edificio está muy bien cuidado y todavía está en funciones como sede del gobierno, interesante manera de narrar la historia y la conquista ",,7 de noviembre de 2018,nov de 2018
