Author,Titulo,Review,OrigenAutor,FechaOpinion,FechaEstadia
,Sumergirse aprendiendo a agujerear a las familias sobre las luciérnagas de fuego y su entorno,"Las luciérnagas incendiarias son especies en peligro de extinción ya que hoy en día se han construido cada vez más casas en sus hábitats naturales, el agua y la humedad es menor cada vez y la contaminación por rayos son factores de riesgo a poner en peligro... en este lugar la gente trata de preservar su ecosistema y atmósfera para salvarlas por lo que hicieron de todo para ayudar a este hermoso insecto! Aprendí mucho sobre ellos, aprendí cómo se apareaban y por qué tenían esa luz... definitivamente es un tipo de actividades que los niños deben hacer con sus padres, para tomar conciencia, contacto con la naturaleza y los animales, aprender a respetarlos y cuidarlos. ¡Y la vista a los volcanes es increíble!","Oaxaca, México",20 de enero de 2025,jul de 2024
,El fraude más exitoso.,"El santuario ofrece visitas desde Julio hasta el 18 de Agosto, la familia de mi novia apresuró sus planes para ir el primer fin de semana de Agosto antes de que se acabará la temporada, planeamos el viaje y logramos ir para encontrarnos con un bosque descuidado en el pueblo de Nanacamilpa donde llegaban  coches y camiones sin cesar llenos de personas para visitar el santuario a una entrada con nula organización ni cuidado donde nadie te explica nada y si logras llegar con un guía corre por tu propia suerte, logran meter hasta 3,000 personas en fin de semana lo cual además de hacerle un daño terrible al bosque también genera que en todo momento en el tour se generé tráfico de personas que intentan subir por el mismo sendero mientras el mañoso guía nos paraba a cada 2 minutos para darnos algún dato totalmente innecesario en son de alargar la experiencia todo lo posible para retrasar todo lo posible la verdad sobre el Santuario, ya una vez recorrida la mitad del Sendero 2 y con incontables ocasiones en las que el guía y el tráfico peatonal nos paró, el monitor por fin  se sincero y nos platicó que las 20 luciérnagas que habíamos visto iban a ser todo lo que íbamos a ver por que la temporada ya había terminado desde el 25 de Julio, información que nos pudo haber adelantado desde antes de iniciar ese martirio para que cada quien tomará su decisión o quizás hasta tener la posibilidad de exigir un reembolso, pero claramente esto no les conviene por que es un negocio redondo donde cobran 360 pesos por persona y meten a más de 3,000 por día en fin de semana, ustedes harán sus cuentas y verán por que es un fraude tan exitoso. Una experiencia que no le recomendaría a nadie.",,7 de agosto de 2024,ago de 2024
,Tour desde la CDMX al Santuario de la Luciérnaga,"Una excelente idea el ofrecer un tour con transportación desde la CDMX, las unidades de transporte son con modelos recientes y el operador muy experimentado en el camino.  Recomendamos el Restaurante Tequexquite, los menús que manejan son de comida muy tradicional de la zona, ¡vale la pena visitarlo!!! Para evitar contratiempos,  omitir la visita al poco atractivo  centro de Nanacamilpa.  Recomendamos ampliamente visitar el Rancho San Isidro, aprendimos mucho sobre el proceso de producción del pulque, la comida es exquisita!!! . Por último, la visita al Santuario de Piedra Canteada, fue inolvidable la caminata en el bosque lluvioso por la noche donde convivimos con la naturaleza y pudimos apreciar las luciérnagas, solo recomendamos mayor organización de los guías cuando se tienen tantos visitantes de todas las edades.",,31 de julio de 2024,jul de 2024
,UN FRAUDE TOTAL,"HORIBLE!Te hacen caminar a ciegas en silencio por un bosque por muchísimo tiempo para ver 20 luciernagas! Yo noté que llovería y pregunté si eso afectaría para volver otro día y dijeron  que no.Al final toda enojada le dije a la ""guia"" que donde estaban las luciernagas y me dijo que las gotas de aguas tiraban. Le dije: Entonces por qué nos trajeron en plena lluvia? Y se fue! Le valió!UN FRAUDE TOTAL.",,29 de julio de 2024,jul de 2024
,Noche de Luciérnagas ,"El Santuario de las Luciérnagas es una gran experiencia, no lleven niños, la caminata es larga, en el bosque no se debe hacer ruido, puede estar lloviendo, debe uno concentrarse, caminar con cuidado. Recomiendo hospedarse en Tlaxcala el Hotel Candela es cómodo, limpio a buen precio, cerca del centro y de la terminal de autobuses.",,21 de agosto de 2023,ago de 2023
,Demasiada gente,"Demasiada gente vine hace 15 años fue increíble las miles de luciérnagasAhora apenas ves unos cuantos nada impresionantesEstá más orientado a hacer que la gente viaje, la espera no vale la pena.Es más una cuestión de marketing que de preservación de la naturaleza.","Nueva York, Estado de Nueva York",19 de julio de 2023,jul de 2023
,Maravilloso ,Una experiencia maravillosa excelente la explicación de los guías  muy bonito para acampar junto al lago  ,,15 de julio de 2023,jul de 2023
,Tlaxcala si existe.,"Me encanto el lugar, jamás había visto tantas luciérnagas juntas, sin duda regresaría. Lo recomiendo.Un consejo, si piensan ir en fin de semana reserven con anticipación ya que de no hacerlo será un poco complicado el hospedaje. No olviden ir con botas, de ser posible contra agua, no usen zapatos o tenis, asistan con ropa abrigadora e impermeable, claro no olvides una gorra. Cuando visites el santuario, ve acompañado de alguien agradable, viajar con la mejor compañía hace de los viajes una experiencia inolvidable.",,25 de julio de 2022,jul de 2022
,Demasiado largo!!!,"Duró demasiado!!! Estábamos cansados, ya no se veía nada y nos hacían seguir escuchando historias detenidos en el camino. Entiendo que es logística del parque pero el hecho de tener visitas masivas entorpecía los recorridos. Creo que una hora y media es más que suficiente para subir, asistir el avistamiento y regresar. Recomiendo a los que quiera visitar que vayan en su propio transporte, suban con un grupo y bajen independientemente (o sea solos) porque de lo contrario los harán esperar HORAS!",,23 de julio de 2022,jul de 2022
,Turismo de masas y sin libertad de movimiento,Una gran atracción turística. Gran masa de gente. Todos deben unirse a un grupo más grande con una guía que solo se mueve tan rápido como el miembro más lento. No hay mucha flexibilidad para moverse libremente ya que todo está muy regulado. Hubiera sido una mejor experiencia si hubiera más opciones logísticas para observar y moverse.,,23 de julio de 2022,jul de 2022
,Fin de semana de ensueño,"nos quedamos a dorimir ahi para mayor comodidad, la cabaña ñimpia bonita, con chimenea, baño dos camas, se duerme bien, por la noche fuimos en busca de las luciernagas y tuvimos suerte de que si habia muchas, solo tengan en cuenta que en los dias de luna llena es probable que no vean a muchas asi que chequen sus fechas, al di siguente desayunamos muy rico ahi y dimos una caminata por el bosque , fue un fin de semana increible, nos quedamos en el campamento canto del bosque","Pachuca, México",9 de julio de 2022,ago de 2021
,Lugar maravilloso,"Todos los años en los meses de junio y julio, los bosques de Nanacamilpa se llenan de luciérnagas, las cuales ofrecen un espectáculo nocturno, ya que miles de luciérnagas llenan de forma natural los bosques de luz en medio de la oscuridad. Es un atractivo turístico que dura solo una hora, pero que te permite conectarte con la naturaleza.El santuario abre sus puertas por la noche, a partir de las 8:30, y aunque es una gran experiencia, para algunas personas puede resultar incómoda debido a que la zona es bastante húmeda y el clima es bastante frío ya que este lugar se encuentra en medio de la bosque, si lo visitas es necesario tomar precauciones.",,26 de mayo de 2022,ago de 2021
,Me encanto!!!!,Increíble todo el recorrido solo recomiendo llegar muy temprano o de plano quedarte en los albergues Las tiendas de campaña cuentan con asadores,"Tlaxcala, México",17 de marzo de 2022,jun de 2021
,Bellisimo,A fines del mes de julio acudí al Santuario de las Luciérnagas para el avistamiento y en verdad es un espectáculo magnífico que nos brinda la naturaleza.  Agradezco la oportunidad que tuve de vivirlo.,,26 de agosto de 2021,jul de 2021
,Maravillosa Experiencia con Luciernagas,"Es un espectáculo maravilloso, hay que verlo al menos una vez en la vidaEl lugar está muy bien cuidado y controlado de tal forma que el espectáculo de las luciérnagas se disfruta plenamente","Ciudad de México, México",17 de agosto de 2021,ago de 2021
,La mercadotecnia engaña,"El sábado 7 de agosto hicimos el recorrido de las luciérnagas en Canto del bosque. A mi parecer, muy bonito el lugar, tiene una vista hermosa del bosque desde lo alto, cabañas que se ven muy lindas para descansar un fin de semana, el guía muy atento y amable. Había escuchado y leído mucho sobre esta experiencia y al ver fechas agotadas en varios lugares que ofrecen el servicio supuse que si era una experiencia única para ver este fenómeno. Una amiga me recomendó el lugar y me comentó que cuando fue vio muy pocas luciérnagas y le dijeron que dejara pasar un par de semanas para que el avistamiento fuera mejor. Justo fui semanas después y nada, si vimos 10 luciérnagas fue mucho. Entiendo que es un fenómeno de la naturaleza  y que las condiciones se tenían que dar pero en este caso también nos comentaron que la lluvia ayudaba a que sea mejor el avistamiento y tampoco fue así, pues justo una hora antes había llovido. No es queja, solo expongo mi experiencia que pueda ayudar a decidir pagar por una experiencia que no ves. Quizás fue mala suerte del día o en otros lugares si se vean, tal vez en años anteriores eran otras condiciones de la naturaleza y si había más o quizás me deje llevar por la merca de las redes sociales.",,10 de agosto de 2021,ago de 2021
